證券代碼,簡稱,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股)
2801   ,彰銀         ,2017/12/20,   15.39,   15.49,   15.35,   15.39,     6123
2801   ,彰銀         ,2017/12/21,   15.39,   15.44,   15.35,   15.39,     3678
2801   ,彰銀         ,2017/12/22,   15.39,   15.44,   15.35,   15.44,     4143
2801   ,彰銀         ,2017/12/25,   15.39,   15.49,   15.39,   15.44,     1585
2801   ,彰銀         ,2017/12/26,   15.49,   15.49,   15.39,   15.39,     1460
2801   ,彰銀         ,2017/12/27,   15.39,   15.44,   15.39,   15.44,     2460
2801   ,彰銀         ,2017/12/28,   15.49,   15.49,   15.39,   15.49,     3687
2801   ,彰銀         ,2017/12/29,   15.49,   15.53,   15.44,   15.53,     6131
2801   ,彰銀         ,2018/01/02,   15.49,   15.53,   15.49,   15.53,     4431
2801   ,彰銀         ,2018/01/03,   15.53,   15.58,   15.49,   15.58,     6769
2801   ,彰銀         ,2018/01/04,   15.58,   15.63,   15.53,   15.63,     5837
2801   ,彰銀         ,2018/01/05,   15.63,   15.77,   15.58,   15.77,     9256
2801   ,彰銀         ,2018/01/08,   15.81,   15.96,   15.81,   15.96,    13178
2801   ,彰銀         ,2018/01/09,   15.96,   16.00,   15.86,   15.96,     6794
2801   ,彰銀         ,2018/01/10,   15.96,   16.00,   15.91,   16.00,     7597
2801   ,彰銀         ,2018/01/11,   16.00,   16.05,   15.91,   16.00,     7243
2801   ,彰銀         ,2018/01/12,   16.00,   16.05,   15.96,   16.00,     5420
2801   ,彰銀         ,2018/01/15,   16.00,   16.14,   16.00,   16.14,     6047
2801   ,彰銀         ,2018/01/16,   16.14,   16.24,   16.14,   16.24,     6068
2801   ,彰銀         ,2018/01/17,   16.19,   16.28,   16.14,   16.28,     8892
2801   ,彰銀         ,2018/01/18,   16.28,   16.33,   16.14,   16.14,     9898
2801   ,彰銀         ,2018/01/19,   16.14,   16.24,   16.10,   16.24,     6021
2801   ,彰銀         ,2018/01/22,   16.14,   16.19,   16.05,   16.10,     8934
2801   ,彰銀         ,2018/01/23,   16.05,   16.14,   16.00,   16.14,     7295
2801   ,彰銀         ,2018/01/24,   16.10,   16.14,   16.00,   16.05,     9973
2801   ,彰銀         ,2018/01/25,   16.00,   16.24,   16.00,   16.24,    12236
2801   ,彰銀         ,2018/01/26,   16.19,   16.24,   16.05,   16.14,     6620
2801   ,彰銀         ,2018/01/29,   16.19,   16.24,   16.14,   16.24,     4095
2801   ,彰銀         ,2018/01/30,   16.19,   16.19,   15.96,   16.00,    15032
2801   ,彰銀         ,2018/01/31,   15.96,   16.19,   15.91,   16.05,     5928
2801   ,彰銀         ,2018/02/01,   16.05,   16.19,   16.05,   16.05,     4993
2801   ,彰銀         ,2018/02/02,   16.05,   16.19,   16.00,   16.19,     6014
2801   ,彰銀         ,2018/02/05,   15.96,   16.00,   15.86,   15.96,     9843
2801   ,彰銀         ,2018/02/06,   15.67,   15.72,   15.39,   15.39,    22527
2801   ,彰銀         ,2018/02/07,   15.58,   15.77,   15.53,   15.63,    11904
2801   ,彰銀         ,2018/02/08,   15.67,   15.67,   15.49,   15.63,     5757
2801   ,彰銀         ,2018/02/09,   15.35,   15.53,   15.35,   15.44,    10375
2801   ,彰銀         ,2018/02/12,   15.58,   15.58,   15.44,   15.44,     7608
2801   ,彰銀         ,2018/02/21,   15.58,   15.77,   15.53,   15.67,     9950
2801   ,彰銀         ,2018/02/22,   15.67,   15.72,   15.58,   15.67,     5195
2801   ,彰銀         ,2018/02/23,   15.72,   15.91,   15.67,   15.86,     8921
2801   ,彰銀         ,2018/02/26,   15.91,   15.96,   15.86,   15.91,     3695
2801   ,彰銀         ,2018/02/27,   15.96,   15.96,   15.77,   15.77,     9021
2801   ,彰銀         ,2018/03/01,   15.63,   15.77,   15.63,   15.67,     5928
2801   ,彰銀         ,2018/03/02,   15.63,   15.72,   15.63,   15.67,     5850
2801   ,彰銀         ,2018/03/05,   15.63,   15.72,   15.53,   15.53,     6754
2801   ,彰銀         ,2018/03/06,   15.67,   15.72,   15.58,   15.63,     3342
2801   ,彰銀         ,2018/03/07,   15.58,   15.67,   15.58,   15.63,     3967
2801   ,彰銀         ,2018/03/08,   15.63,   15.67,   15.58,   15.63,     2959
2801   ,彰銀         ,2018/03/09,   15.67,   15.77,   15.63,   15.67,     3552
2801   ,彰銀         ,2018/03/12,   15.72,   15.86,   15.72,   15.86,     4759
2801   ,彰銀         ,2018/03/13,   15.86,   15.96,   15.77,   15.96,     5862
2801   ,彰銀         ,2018/03/14,   15.91,   16.00,   15.81,   15.96,     6979
2801   ,彰銀         ,2018/03/15,   15.91,   16.00,   15.91,   15.96,     6854
2801   ,彰銀         ,2018/03/16,   15.96,   16.00,   15.91,   15.96,    20819
2801   ,彰銀         ,2018/03/19,   15.96,   16.00,   15.86,   16.00,     4042
2801   ,彰銀         ,2018/03/20,   15.91,   16.00,   15.91,   15.91,     3386
2801   ,彰銀         ,2018/03/21,   15.91,   16.05,   15.91,   16.05,     4346
2801   ,彰銀         ,2018/03/22,   16.05,   16.14,   16.00,   16.10,     8348
2801   ,彰銀         ,2018/03/23,   15.91,   15.96,   15.86,   15.91,    11075
2801   ,彰銀         ,2018/03/26,   15.81,   15.86,   15.77,   15.81,     4910
2801   ,彰銀         ,2018/03/27,   15.91,   15.96,   15.86,   15.91,     3043
2801   ,彰銀         ,2018/03/28,   15.86,   15.96,   15.86,   15.96,     2236
2801   ,彰銀         ,2018/03/29,   15.91,   15.91,   15.81,   15.81,     7622
2801   ,彰銀         ,2018/03/30,   15.91,   15.96,   15.86,   15.96,     1993
2801   ,彰銀         ,2018/03/31,   15.96,   15.96,   15.86,   15.91,     1743
2801   ,彰銀         ,2018/04/02,   15.91,   15.96,   15.86,   15.86,     2700
2801   ,彰銀         ,2018/04/03,   15.81,   15.86,   15.77,   15.77,     4704
2801   ,彰銀         ,2018/04/09,   15.77,   15.91,   15.77,   15.91,     6638
2801   ,彰銀         ,2018/04/10,   15.86,   16.00,   15.86,   16.00,     7929
2801   ,彰銀         ,2018/04/11,   16.00,   16.05,   15.96,   16.00,     3266
2801   ,彰銀         ,2018/04/12,   16.05,   16.05,   15.96,   16.00,     4119
2801   ,彰銀         ,2018/04/13,   15.96,   16.05,   15.96,   15.96,     4944
2801   ,彰銀         ,2018/04/16,   15.91,   16.00,   15.91,   15.96,     3646
2801   ,彰銀         ,2018/04/17,   15.96,   16.00,   15.86,   15.96,     7401
2801   ,彰銀         ,2018/04/18,   15.91,   16.00,   15.91,   15.96,     4076
2801   ,彰銀         ,2018/04/19,   15.96,   16.05,   15.96,   16.05,     4360
2801   ,彰銀         ,2018/04/20,   15.96,   16.05,   15.96,   16.05,     3515
2801   ,彰銀         ,2018/04/23,   15.96,   16.05,   15.96,   16.05,     1995
2801   ,彰銀         ,2018/04/24,   15.96,   16.00,   15.91,   15.96,     5588
2801   ,彰銀         ,2018/04/25,   15.91,   16.00,   15.86,   16.00,     3512
2801   ,彰銀         ,2018/04/26,   15.96,   16.05,   15.96,   16.00,     4161
2801   ,彰銀         ,2018/04/27,   15.96,   16.05,   15.91,   16.05,     4712
2801   ,彰銀         ,2018/04/30,   16.05,   16.05,   15.96,   16.05,     7550
2801   ,彰銀         ,2018/05/02,   16.00,   16.05,   15.96,   16.05,     6773
2801   ,彰銀         ,2018/05/03,   15.96,   16.05,   15.96,   16.00,     4470
2801   ,彰銀         ,2018/05/04,   15.96,   16.05,   15.91,   15.91,     4988
2801   ,彰銀         ,2018/05/07,   15.96,   16.00,   15.91,   15.91,     3278
2801   ,彰銀         ,2018/05/08,   16.00,   16.05,   15.91,   16.00,     3581
2801   ,彰銀         ,2018/05/09,   15.96,   16.05,   15.96,   15.96,     3603
2801   ,彰銀         ,2018/05/10,   15.96,   16.05,   15.96,   16.00,     3559
2801   ,彰銀         ,2018/05/11,   16.00,   16.14,   16.00,   16.14,     9027
2801   ,彰銀         ,2018/05/14,   16.14,   16.14,   16.10,   16.14,     4566
2801   ,彰銀         ,2018/05/15,   16.19,   16.28,   16.14,   16.28,    12408
2801   ,彰銀         ,2018/05/16,   16.24,   16.33,   16.24,   16.33,     9454
2801   ,彰銀         ,2018/05/17,   16.33,   16.33,   16.24,   16.28,     4760
2801   ,彰銀         ,2018/05/18,   16.28,   16.38,   16.28,   16.33,     6224
2801   ,彰銀         ,2018/05/21,   16.33,   16.52,   16.33,   16.52,     8979
2801   ,彰銀         ,2018/05/22,   16.52,   16.66,   16.52,   16.61,    13731
2801   ,彰銀         ,2018/05/23,   16.61,   16.71,   16.57,   16.66,     9595
2801   ,彰銀         ,2018/05/24,   16.66,   16.71,   16.61,   16.66,     5959
2801   ,彰銀         ,2018/05/25,   16.66,   16.71,   16.61,   16.66,     8419
2801   ,彰銀         ,2018/05/28,   16.66,   16.71,   16.61,   16.71,     7603
2801   ,彰銀         ,2018/05/29,   16.61,   16.71,   16.61,   16.71,     9470
2801   ,彰銀         ,2018/05/30,   16.57,   16.61,   16.52,   16.52,    15093
2801   ,彰銀         ,2018/05/31,   16.61,   16.66,   16.47,   16.47,    40603
2801   ,彰銀         ,2018/06/01,   16.47,   16.61,   16.47,   16.57,     7031
2801   ,彰銀         ,2018/06/04,   16.52,   16.71,   16.52,   16.71,     7301
2801   ,彰銀         ,2018/06/05,   16.66,   16.80,   16.66,   16.80,     9294
2801   ,彰銀         ,2018/06/06,   16.80,   16.89,   16.66,   16.89,    11173
2801   ,彰銀         ,2018/06/07,   16.89,   16.99,   16.85,   16.99,     9045
2801   ,彰銀         ,2018/06/08,   16.94,   16.94,   16.85,   16.94,     6779
2801   ,彰銀         ,2018/06/11,   16.85,   16.89,   16.80,   16.85,     5916
2801   ,彰銀         ,2018/06/12,   16.75,   16.89,   16.75,   16.89,     7610
2801   ,彰銀         ,2018/06/13,   16.89,   16.89,   16.80,   16.80,     4581
2801   ,彰銀         ,2018/06/14,   16.71,   16.80,   16.61,   16.66,     9962
2801   ,彰銀         ,2018/06/15,   16.61,   16.71,   16.61,   16.71,    14804
2801   ,彰銀         ,2018/06/19,   16.52,   16.61,   16.47,   16.57,    12634
2801   ,彰銀         ,2018/06/20,   16.57,   16.66,   16.47,   16.61,    10830
2801   ,彰銀         ,2018/06/21,   16.57,   16.66,   16.52,   16.57,     5766
2801   ,彰銀         ,2018/06/22,   16.00,   16.61,   16.00,   16.61,    13858
2801   ,彰銀         ,2018/06/25,   16.42,   16.71,   16.42,   16.61,     5495
2801   ,彰銀         ,2018/06/26,   16.47,   16.61,   16.42,   16.47,    10772
2801   ,彰銀         ,2018/06/27,   16.42,   16.52,   16.38,   16.42,     8986
2801   ,彰銀         ,2018/06/28,   16.38,   16.42,   16.33,   16.42,     5603
2801   ,彰銀         ,2018/06/29,   16.42,   16.61,   16.38,   16.61,     8110
2801   ,彰銀         ,2018/07/02,   16.47,   16.61,   16.47,   16.52,     4464
2801   ,彰銀         ,2018/07/03,   16.42,   16.47,   16.33,   16.42,     6766
2801   ,彰銀         ,2018/07/04,   16.38,   16.42,   16.33,   16.42,     2732
2801   ,彰銀         ,2018/07/05,   16.38,   16.38,   16.28,   16.38,     4460
2801   ,彰銀         ,2018/07/06,   16.38,   16.38,   16.19,   16.38,     7700
2801   ,彰銀         ,2018/07/09,   16.47,   16.47,   16.38,   16.42,     3230
2801   ,彰銀         ,2018/07/10,   16.47,   16.52,   16.42,   16.47,     4616
2801   ,彰銀         ,2018/07/11,   16.38,   16.42,   16.33,   16.38,     3078
2801   ,彰銀         ,2018/07/12,   16.42,   16.57,   16.33,   16.52,     7518
2801   ,彰銀         ,2018/07/13,   16.52,   16.57,   16.52,   16.57,     3636
2801   ,彰銀         ,2018/07/16,   16.52,   16.52,   16.42,   16.47,     2669
2801   ,彰銀         ,2018/07/17,   16.42,   16.57,   16.42,   16.57,     4832
2801   ,彰銀         ,2018/07/18,   16.57,   16.66,   16.52,   16.61,     9425
2801   ,彰銀         ,2018/07/19,   16.61,   16.66,   16.57,   16.61,     6291
2801   ,彰銀         ,2018/07/20,   16.57,   16.61,   16.57,   16.61,     5372
2801   ,彰銀         ,2018/07/23,   16.61,   16.71,   16.57,   16.71,     7261
2801   ,彰銀         ,2018/07/24,   16.66,   16.80,   16.66,   16.80,     3422
2801   ,彰銀         ,2018/07/25,   16.80,   16.85,   16.75,   16.75,     2394
2801   ,彰銀         ,2018/07/26,   16.85,   16.89,   16.75,   16.89,     5136
2801   ,彰銀         ,2018/07/27,   16.89,   16.89,   16.80,   16.89,     3894
2801   ,彰銀         ,2018/07/30,   16.89,   16.94,   16.80,   16.89,     6195
2801   ,彰銀         ,2018/07/31,   16.89,   16.99,   16.85,   16.99,     7760
2801   ,彰銀         ,2018/08/01,   16.99,   16.99,   16.89,   16.94,     5709
2801   ,彰銀         ,2018/08/02,   16.94,   16.99,   16.80,   16.85,     4675
2801   ,彰銀         ,2018/08/03,   16.85,   16.94,   16.80,   16.94,     5780
2801   ,彰銀         ,2018/08/06,   16.94,   16.94,   16.85,   16.94,     2704
2801   ,彰銀         ,2018/08/07,   16.94,   16.99,   16.85,   16.94,     8449
2801   ,彰銀         ,2018/08/08,   16.99,   16.99,   16.89,   16.99,     8865
2801   ,彰銀         ,2018/08/09,   16.99,   17.03,   16.94,   16.99,     5860
2801   ,彰銀         ,2018/08/10,   16.99,   17.18,   16.99,   17.18,     6797
2801   ,彰銀         ,2018/08/13,   17.13,   17.13,   16.99,   16.99,     5488
2801   ,彰銀         ,2018/08/14,   16.99,   17.03,   16.94,   17.03,     3541
2801   ,彰銀         ,2018/08/15,   17.03,   17.08,   16.85,   16.89,     7485
2801   ,彰銀         ,2018/08/16,   16.85,   16.94,   16.75,   16.94,     4796
2801   ,彰銀         ,2018/08/17,   16.94,   16.99,   16.89,   16.94,     6118
2801   ,彰銀         ,2018/08/20,   16.94,   17.08,   16.94,   16.99,     6481
2801   ,彰銀         ,2018/08/21,   17.03,   17.32,   17.03,   17.32,    13931
2801   ,彰銀         ,2018/08/22,   17.36,   17.46,   17.32,   17.41,    10623
2801   ,彰銀         ,2018/08/23,   17.46,   17.50,   17.32,   17.41,     8577
2801   ,彰銀         ,2018/08/24,   17.41,   17.46,   17.32,   17.41,     6482
2801   ,彰銀         ,2018/08/27,   17.46,   17.55,   17.41,   17.55,     7523
2801   ,彰銀         ,2018/08/28,   17.60,   17.64,   17.50,   17.64,     8490
2801   ,彰銀         ,2018/08/29,   17.64,   17.79,   17.60,   17.79,    12340
2801   ,彰銀         ,2018/08/30,   17.83,   17.93,   17.79,   17.88,    17568
2801   ,彰銀         ,2018/08/31,   17.79,   17.93,   17.79,   17.93,    18106
2801   ,彰銀         ,2018/09/03,   17.93,   18.02,   17.88,   18.02,    31551
2801   ,彰銀         ,2018/09/04,   17.95,   17.95,   17.80,   17.95,    26021
2801   ,彰銀         ,2018/09/05,   17.95,   17.95,   17.80,   17.80,    10644
2801   ,彰銀         ,2018/09/06,   17.75,   17.90,   17.75,   17.80,     7923
2801   ,彰銀         ,2018/09/07,   17.80,   17.90,   17.80,   17.85,     7578
2801   ,彰銀         ,2018/09/10,   17.90,   17.90,   17.80,   17.90,     8361
2801   ,彰銀         ,2018/09/11,   17.90,   18.00,   17.85,   18.00,     7841
2801   ,彰銀         ,2018/09/12,   18.00,   18.10,   17.95,   18.10,     6305
2801   ,彰銀         ,2018/09/13,   18.10,   18.25,   18.05,   18.25,     6034
2801   ,彰銀         ,2018/09/14,   18.25,   18.35,   18.25,   18.25,     7527
2801   ,彰銀         ,2018/09/17,   18.20,   18.20,   18.10,   18.20,     3303
2801   ,彰銀         ,2018/09/18,   18.10,   18.30,   18.10,   18.20,     4267
2801   ,彰銀         ,2018/09/19,   18.20,   18.45,   18.20,   18.45,     7677
2801   ,彰銀         ,2018/09/20,   18.45,   18.50,   18.35,   18.40,     6647
2801   ,彰銀         ,2018/09/21,   18.50,   18.70,   18.40,   18.70,    10155
2801   ,彰銀         ,2018/09/25,   18.60,   18.70,   18.50,   18.70,     5402
2801   ,彰銀         ,2018/09/26,   18.70,   18.70,   18.55,   18.70,     5233
2801   ,彰銀         ,2018/09/27,   18.65,   18.95,   18.65,   18.85,    10468
2801   ,彰銀         ,2018/09/28,   18.65,   18.90,   18.65,   18.90,     9999
2801   ,彰銀         ,2018/10/01,   18.80,   18.90,   18.75,   18.80,     5715
2801   ,彰銀         ,2018/10/02,   18.80,   18.80,   18.50,   18.60,     9790
2801   ,彰銀         ,2018/10/03,   18.60,   18.70,   18.50,   18.70,     4648
2801   ,彰銀         ,2018/10/04,   18.55,   18.60,   18.35,   18.50,     8663
2801   ,彰銀         ,2018/10/05,   18.30,   18.45,   18.20,   18.30,     7831
2801   ,彰銀         ,2018/10/08,   18.20,   18.40,   18.20,   18.30,     7547
2801   ,彰銀         ,2018/10/09,   18.30,   18.65,   18.25,   18.45,     8183
2801   ,彰銀         ,2018/10/11,   17.80,   18.00,   17.40,   17.50,    23998
2801   ,彰銀         ,2018/10/12,   17.35,   17.75,   17.30,   17.65,    11338
2801   ,彰銀         ,2018/10/15,   17.65,   17.65,   17.35,   17.40,    10235
2801   ,彰銀         ,2018/10/16,   17.40,   17.50,   17.40,   17.50,     5811
2801   ,彰銀         ,2018/10/17,   17.60,   17.60,   17.35,   17.50,     6128
2801   ,彰銀         ,2018/10/18,   17.45,   17.55,   17.45,   17.55,     3146
2801   ,彰銀         ,2018/10/19,   17.45,   17.55,   17.35,   17.50,     3074
2801   ,彰銀         ,2018/10/22,   17.45,   17.60,   17.40,   17.60,     2368
2801   ,彰銀         ,2018/10/23,   17.40,   17.45,   17.30,   17.45,     6278
2801   ,彰銀         ,2018/10/24,   17.35,   17.50,   17.20,   17.30,     6716
2801   ,彰銀         ,2018/10/25,   17.05,   17.40,   17.00,   17.30,     8577
2801   ,彰銀         ,2018/10/26,   17.25,   17.35,   17.20,   17.25,     4349
2801   ,彰銀         ,2018/10/29,   17.35,   17.50,   17.25,   17.35,     3583
2801   ,彰銀         ,2018/10/30,   17.40,   17.50,   17.30,   17.50,     4017
2801   ,彰銀         ,2018/10/31,   17.40,   17.55,   17.40,   17.55,     7902
2801   ,彰銀         ,2018/11/01,   17.40,   17.55,   17.40,   17.45,     3418
2801   ,彰銀         ,2018/11/02,   17.55,   17.60,   17.45,   17.60,     2839
2801   ,彰銀         ,2018/11/05,   17.60,   17.65,   17.45,   17.65,     4674
2801   ,彰銀         ,2018/11/06,   17.70,   17.70,   17.55,   17.70,     1770
2801   ,彰銀         ,2018/11/07,   17.65,   17.80,   17.65,   17.80,     4213
2801   ,彰銀         ,2018/11/08,   17.80,   17.95,   17.70,   17.95,     4986
2801   ,彰銀         ,2018/11/09,   17.95,   17.95,   17.70,   17.85,     2539
2801   ,彰銀         ,2018/11/12,   17.90,   17.90,   17.75,   17.80,     2029
2801   ,彰銀         ,2018/11/13,   17.45,   17.80,   17.45,   17.75,     2877
2801   ,彰銀         ,2018/11/14,   17.75,   17.85,   17.65,   17.85,     2138
2801   ,彰銀         ,2018/11/15,   17.85,   18.05,   17.70,   17.95,     4489
2801   ,彰銀         ,2018/11/16,   18.05,   18.05,   17.85,   17.95,     3538
2801   ,彰銀         ,2018/11/19,   17.90,   18.00,   17.85,   18.00,     4518
2801   ,彰銀         ,2018/11/20,   17.95,   18.00,   17.75,   17.85,     3201
