證券代碼,簡稱,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股)
2823   ,中壽         ,2017/12/25,   27.61,   27.61,   27.33,   27.47,     2436
2834   ,臺企銀       ,2017/12/25,    7.86,    7.87,    7.83,    7.85,     2144
2838   ,聯邦銀       ,2017/12/25,    8.64,    8.65,    8.63,    8.65,      146
2880   ,華南金       ,2017/12/25,   15.59,   15.59,   15.54,   15.54,     2481
2881   ,富邦金       ,2017/12/25,   48.80,   48.80,   48.41,   48.60,     2451
2888   ,新光金       ,2017/12/25,   10.11,   10.11,   10.01,   10.01,    24145
2882   ,國泰金       ,2017/12/25,   51.57,   51.67,   50.90,   51.09,     8392
2823   ,中壽         ,2017/12/26,   27.47,   27.52,   27.24,   27.33,     2682
2834   ,臺企銀       ,2017/12/26,    7.84,    7.85,    7.80,    7.81,     3118
2838   ,聯邦銀       ,2017/12/26,    8.65,    8.65,    8.59,    8.60,      446
2880   ,華南金       ,2017/12/26,   15.54,   15.59,   15.50,   15.50,     2665
2881   ,富邦金       ,2017/12/26,   48.60,   48.60,   47.74,   48.03,     8863
2888   ,新光金       ,2017/12/26,   10.01,   10.06,    9.92,    9.92,    31499
2882   ,國泰金       ,2017/12/26,   51.09,   51.48,   50.43,   50.52,     9393
2823   ,中壽         ,2017/12/27,   27.33,   27.47,   27.24,   27.42,     2865
2834   ,臺企銀       ,2017/12/27,    7.81,    7.85,    7.81,    7.82,     2255
2838   ,聯邦銀       ,2017/12/27,    8.60,    8.63,    8.60,    8.63,      263
2880   ,華南金       ,2017/12/27,   15.50,   15.54,   15.50,   15.54,     4073
2881   ,富邦金       ,2017/12/27,   47.84,   48.32,   47.74,   48.22,     9783
2888   ,新光金       ,2017/12/27,    9.92,   10.11,    9.87,    9.96,    65934
2882   ,國泰金       ,2017/12/27,   50.52,   51.48,   50.52,   51.38,     8343
2823   ,中壽         ,2017/12/28,   27.52,   27.52,   27.38,   27.52,     3630
2834   ,臺企銀       ,2017/12/28,    7.83,    7.87,    7.83,    7.87,     5757
2838   ,聯邦銀       ,2017/12/28,    8.63,    8.64,    8.61,    8.62,      254
2880   ,華南金       ,2017/12/28,   15.54,   15.54,   15.50,   15.54,     7436
2881   ,富邦金       ,2017/12/28,   48.32,   48.70,   48.13,   48.60,     8724
2888   ,新光金       ,2017/12/28,   10.06,   10.11,   10.01,   10.06,    22160
2882   ,國泰金       ,2017/12/28,   51.38,   51.76,   51.09,   51.38,    11357
2823   ,中壽         ,2017/12/29,   27.52,   27.61,   27.42,   27.56,     4140
2834   ,臺企銀       ,2017/12/29,    7.87,    7.88,    7.85,    7.87,     4442
2838   ,聯邦銀       ,2017/12/29,    8.64,    8.66,    8.63,    8.65,      648
2880   ,華南金       ,2017/12/29,   15.54,   15.59,   15.50,   15.59,     6903
2881   ,富邦金       ,2017/12/29,   48.51,   48.80,   47.93,   48.51,     9332
2888   ,新光金       ,2017/12/29,   10.06,   10.16,   10.01,   10.06,    28872
2882   ,國泰金       ,2017/12/29,   51.38,   51.95,   50.62,   51.09,    16025
2823   ,中壽         ,2018/01/02,   27.56,   27.70,   27.42,   27.61,     3959
2834   ,臺企銀       ,2018/01/02,    7.87,    7.88,    7.86,    7.88,     2676
2838   ,聯邦銀       ,2018/01/02,    8.65,    8.65,    8.63,    8.65,      245
2880   ,華南金       ,2018/01/02,   15.59,   15.68,   15.54,   15.68,     6391
2881   ,富邦金       ,2018/01/02,   48.32,   48.80,   48.22,   48.80,     6243
2888   ,新光金       ,2018/01/02,   10.11,   10.11,   10.06,   10.06,    15744
2882   ,國泰金       ,2018/01/02,   51.00,   51.95,   50.90,   51.76,    15815
2823   ,中壽         ,2018/01/03,   27.70,   27.88,   27.65,   27.84,     9863
2834   ,臺企銀       ,2018/01/03,    7.88,    7.88,    7.85,    7.88,     5900
2838   ,聯邦銀       ,2018/01/03,    8.65,    8.67,    8.65,    8.66,      531
2880   ,華南金       ,2018/01/03,   15.68,   15.73,   15.64,   15.73,     7032
2881   ,富邦金       ,2018/01/03,   48.99,   49.46,   48.80,   49.27,    24568
2888   ,新光金       ,2018/01/03,   10.06,   10.16,   10.06,   10.11,    33508
2882   ,國泰金       ,2018/01/03,   52.34,   52.91,   51.86,   52.72,    32123
2823   ,中壽         ,2018/01/04,   27.88,   27.93,   27.65,   27.88,     6531
2834   ,臺企銀       ,2018/01/04,    7.87,    7.89,    7.85,    7.89,     4983
2838   ,聯邦銀       ,2018/01/04,    8.68,    8.68,    8.66,    8.67,      676
2880   ,華南金       ,2018/01/04,   15.73,   15.78,   15.68,   15.78,     8903
2881   ,富邦金       ,2018/01/04,   49.46,   49.66,   48.99,   49.66,    15864
2888   ,新光金       ,2018/01/04,   10.16,   10.16,   10.06,   10.16,    34879
2882   ,國泰金       ,2018/01/04,   52.81,   52.91,   52.05,   52.91,    17321
2823   ,中壽         ,2018/01/05,   27.88,   27.88,   27.70,   27.88,     4843
2834   ,臺企銀       ,2018/01/05,    7.89,    7.92,    7.88,    7.92,     8691
2838   ,聯邦銀       ,2018/01/05,    8.68,    8.70,    8.66,    8.69,     1006
2880   ,華南金       ,2018/01/05,   15.78,   15.96,   15.78,   15.96,    14044
2881   ,富邦金       ,2018/01/05,   49.66,   50.13,   49.37,   49.94,    21035
2888   ,新光金       ,2018/01/05,   10.16,   10.20,   10.11,   10.16,    35481
2882   ,國泰金       ,2018/01/05,   52.81,   53.29,   52.53,   53.20,    22221
2823   ,中壽         ,2018/01/08,   27.88,   27.98,   27.70,   27.93,     6060
2834   ,臺企銀       ,2018/01/08,    7.92,    8.00,    7.90,    7.97,    21947
2838   ,聯邦銀       ,2018/01/08,    8.69,    8.77,    8.69,    8.76,     1390
2880   ,華南金       ,2018/01/08,   16.01,   16.10,   15.96,   16.10,    14461
2881   ,富邦金       ,2018/01/08,   49.94,   50.33,   49.56,   50.23,    15892
2888   ,新光金       ,2018/01/08,   10.25,   10.35,   10.20,   10.30,    80349
2882   ,國泰金       ,2018/01/08,   53.29,   53.29,   52.53,   53.20,    22253
2823   ,中壽         ,2018/01/09,   27.98,   27.98,   27.70,   27.84,     5623
2834   ,臺企銀       ,2018/01/09,    7.98,    7.99,    7.92,    7.96,    11699
2838   ,聯邦銀       ,2018/01/09,    8.77,    8.77,    8.71,    8.74,     1010
2880   ,華南金       ,2018/01/09,   16.10,   16.15,   16.01,   16.10,     8669
2881   ,富邦金       ,2018/01/09,   50.23,   50.33,   49.85,   50.23,    14797
2888   ,新光金       ,2018/01/09,   10.35,   10.35,   10.25,   10.35,    41243
2882   ,國泰金       ,2018/01/09,   53.20,   53.29,   52.72,   53.29,    12742
2823   ,中壽         ,2018/01/10,   27.88,   28.25,   27.79,   28.07,    11054
2834   ,臺企銀       ,2018/01/10,    7.96,    8.00,    7.94,    8.00,    24347
2838   ,聯邦銀       ,2018/01/10,    8.74,    8.77,    8.73,    8.76,      511
2880   ,華南金       ,2018/01/10,   16.10,   16.10,   16.01,   16.10,     8655
2881   ,富邦金       ,2018/01/10,   50.61,   51.19,   50.52,   50.71,    23724
2888   ,新光金       ,2018/01/10,   10.39,   10.54,   10.35,   10.39,    90353
2882   ,國泰金       ,2018/01/10,   53.96,   54.15,   53.10,   53.10,    32365
2823   ,中壽         ,2018/01/11,   28.02,   28.02,   27.88,   28.02,     4083
2834   ,臺企銀       ,2018/01/11,    7.99,    8.01,    7.95,    8.01,    14587
2838   ,聯邦銀       ,2018/01/11,    8.77,    8.77,    8.71,    8.73,      866
2880   ,華南金       ,2018/01/11,   16.10,   16.10,   15.92,   16.06,     8118
2881   ,富邦金       ,2018/01/11,   50.71,   51.00,   50.52,   50.71,    17605
2888   ,新光金       ,2018/01/11,   10.20,   10.25,   10.06,   10.11,    70451
2882   ,國泰金       ,2018/01/11,   53.29,   53.39,   52.53,   52.91,    16238
2823   ,中壽         ,2018/01/12,   28.07,   28.11,   27.98,   28.11,     5946
2834   ,臺企銀       ,2018/01/12,    8.01,    8.09,    7.98,    8.09,    25064
2838   ,聯邦銀       ,2018/01/12,    8.74,    8.78,    8.74,    8.78,      577
2880   ,華南金       ,2018/01/12,   16.01,   16.10,   16.01,   16.10,     6168
2881   ,富邦金       ,2018/01/12,   50.80,   50.90,   50.71,   50.90,     9774
2888   ,新光金       ,2018/01/12,   10.16,   10.20,   10.06,   10.20,    32296
2882   ,國泰金       ,2018/01/12,   53.00,   53.39,   52.81,   53.10,    11994
2823   ,中壽         ,2018/01/15,   28.16,   28.25,   28.02,   28.25,     6225
2834   ,臺企銀       ,2018/01/15,    8.12,    8.26,    8.12,    8.20,    37168
2838   ,聯邦銀       ,2018/01/15,    8.80,    8.84,    8.80,    8.83,     1267
2880   ,華南金       ,2018/01/15,   16.10,   16.15,   16.01,   16.15,     8642
